OrganisationName,Sector,ParentName,Address1,Address2,Address3,City,Postcode,Website,LAD19CD,MSOA11CD,Longitude,Latitude
Moseley Hall Hospital,NHS Sector,Birmingham Community Healthcare NHS Foundation Trust,NA,Alcester Road,NA,Birmingham,B13 8JL,http://www.bhamcommunity.nhs.uk,E08000025,E02001918,-1.8928769826889038,52.445926666259766
West Heath Hospital,NHS Sector,Birmingham Community Healthcare NHS Foundation Trust,West Heath Hospital,Rednal Road,NA,Birmingham,B38 8HR,NA,E08000025,E02001953,-1.9537638425827026,52.39820861816406
Edward Street Hospital,NHS Sector,Black Country Partnership NHS Foundation Trust,Edward Street,Edward Street,NA,West Bromwich,B70 8NL,http://www.bcpft.nhs.uk,E08000028,E02002061,-1.9987335205078125,52.51922607421875
Heath Lane Hospital,NHS Sector,Black Country Partnership NHS Foundation Trust,Heath Lane,NA,NA,West Bromwich,B71 2BG,NA,E08000028,E02002052,-1.9919805526733398,52.53797912597656
Hallam Street Hospital,NHS Sector,Black Country Partnership NHS Foundation Trust,Hallam Street,Hallam Street,NA,West Bromwich,B71 4NH,http://www.bcpft.nhs.uk,E08000028,E02002059,-1.9864252805709839,52.52781677246094
Elmhurst Intermediate Care Centre,NHS Sector,Mid Cheshire Hospitals NHS Foundation Trust,NA,Roehurst Lane,NA,Winsford,CW7 2DF,http://www.mcht.nhs.uk,E06000050,E02003888,-2.531615972518921,53.19568634033203
Workington Community Hospital,NHS Sector,North Cumbria Integrated Care NHS Foundation Trust,NA,Park Lane,NA,Workington,CA14 2RW,http://www.cumbriapartnership.nhs.uk,E07000026,E02003973,-3.5513269901275635,54.64269256591797
The John Howard Centre,NHS Sector,East London NHS Foundation Trust,Forensic Centre for Mental Health,12 Kenworthy Road,Homerton,London,E9 5TD,NA,E09000012,E02000362,-0.03770964592695236,51.54815673828125
Bridlington Hospital - City Health Care Partnership Cic,NHS Sector,City Health Care Partnership Cic,Bessingby Road,NA,NA,Bridlington,YO16 4QP,NA,E06000011,E02002686,-0.21572500467300415,54.08653259277344
Cygnet Hospital Bierley,NHS Sector,Cygnet Health Care Limited,Bierley Lane,NA,NA,Bradford,BD4 6AD,http://www.cygnethealth.co.uk/locations/bierley/,E08000032,E02002239,-1.7321012020111084,53.76850509643555
Nightingale Hospital,NHS Sector,Capio UK,11-19 Lisson Grove,Marylebone,NA,London,NW1 6SH,http://www.nightingalehospital.co.uk,E09000033,E02000968,-0.16512911021709442,51.521854400634766
St Augustine's Independent Hospital,NHS Sector,Cambian Healthcare Limited,Cambian Group,Cobridge Road,NA,Stoke-On-Trent,ST1 5JY,NA,E06000021,E02002961,-2.187804698944092,53.03343963623047
St Catherine's Hospital,NHS Sector,E-Logica Ltd,Church Road,NA,NA,Birkenhead,CH42 0LQ,NA,E08000015,E02001487,-3.0265161991119385,53.380035400390625
Abbey Sefton Hospital,NHS Sector,Abbey Sefton Hospital (University Hospital Aintree),University Hospital Aintree,Fazakerley Hospital,Lower Lane,Liverpool,L9 7AL,NA,E08000012,E02001351,-2.931089401245117,53.46632766723633
St James,Independent Sector,Solent NHS Trust,Locksway Road,NA,NA,Southsea,PO4 8LD,NA,E06000044,E02003540,-1.050118327140808,50.79695510864258
Westbourne Green Community Hospital,Independent Sector,Bradford Teaching Hospitals NHS Foundation Trust,26 Heaton Road,NA,NA,Bradford,BD8 8RA,NA,E08000032,E02002216,-1.7762253284454346,53.80730056762695
West Park Hospital,Independent Sector,The Royal Wolverhampton NHS Trust,Park Road West,NA,NA,Wolverhampton,WV1 4PW,http://www.wolvespct.nhs.uk/Services/Service_pages/West_Park.asp,E08000031,E02002165,-2.1412415504455566,52.58778762817383
Maryport Victoria Cottage Hospital,Independent Sector,North Cumbria Integrated Care NHS Foundation Trust,Victoria Cottage Hospital,Ewanrigg Road,NA,Maryport,CA15 8EJ,https://www.ncic.nhs.uk/,E07000026,E02003969,-3.49501895904541,54.70702362060547
Watergrove Day Hospital,Independent Sector,Pennine Care NHS Foundation Trust,Birch Hill Hospital,Birch Road,NA,Rochdale,OL12 9QB,NA,E08000005,E02001135,-2.1213715076446533,53.64026641845703
City And Hackney Centre For Mental Health,Independent Sector,East London NHS Foundation Trust,Homerton Row,NA,NA,London,E9 6SR,NA,E09000012,E02000363,-0.04608435556292534,51.55063247680664
Grantham & District Hospital,Independent Sector,Lincolnshire Community Health Services NHS Trust,101 Manthorpe Road,NA,NA,Grantham,NG31 8DG,NA,E07000141,E02005478,-0.6406991481781006,52.92108917236328
Eden Unit,Independent Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,Fentham Road,"355 Slade Road, Erdington",NA,Birmingham,B23 6AL,http://www.bsmhft.nhs.uk,E08000025,E02001857,-1.8551775217056274,52.51944351196289
Doncaster Gate Hospital,Independent Sector,The Rotherham NHS Foundation Trust,Doncaster Gate,NA,NA,Rotherham,S65 1DA,NA,E08000018,E02001594,-1.3524163961410522,53.43000030517578
Elderly Day Hospital,Independent Sector,Central and North West London NHS Foundation Trust,2 Exmoor Street,NA,NA,London,W10 6BD,NA,E09000020,E02000578,-0.21723560988903046,51.52338790893555
Coltman Street Day Hospital,Independent Sector,Humber Teaching NHS Foundation Trust,39-42 Coltman Street,NA,NA,Hull,HU3 2SG,NA,E06000010,E02002681,-0.362000048160553,53.741336822509766
Parkside Lodge,Independent Sector,Leeds and York Partnership NHS Foundation Trust,16 Stanningley Road,NA,NA,Leeds,LS12 2HE,http://www.leedsandyorkpft.nhs.uk/,E08000035,E02002400,-1.5900110006332397,53.79930114746094
Woodlands Hospital,Independent Sector,Greater Manchester Mental Health NHS Foundation Trust,Peel Lane,"Meadowstreet Lane, off Peel Lane",NA,Manchester,M28 0FE,NA,E08000006,E02001160,-2.4251973628997803,53.52815628051758
Wathwood Hospital,Independent Sector,Nottinghamshire Healthcare NHS Foundation Trust,Gipsy Green Lane,Wath-Upon-Dearne,NA,Rotherham,S63 7TQ,NA,E08000018,E02001579,-1.3423397541046143,53.49095916748047
Highbury Hospital,Independent Sector,Nottinghamshire Healthcare NHS Foundation Trust,Highbury Road,NA,NA,Nottingham,NG6 9DR,http://www.nottinghamshirehealthcare.nhs.uk/highbury,E06000018,E02002871,-1.1918399333953857,52.9930419921875
The Longley Centre,NHS Sector,Sheffield Health and Social Care NHS Foundation Trust,NA,Norwood Grange Drive,NA,Sheffield,S5 7JT,http://www.shsc.nhs.uk,E08000019,E02001625,-1.460142970085144,53.41022872924805
Leek Moorlands Hospital,Independent Sector,Midlands Partnership NHS Foundation Trust,Ashbourne Road,NA,NA,Leek,ST13 5BQ,http://www.staffordshireandstokeontrent.nhs.uk/Services/leek-moorlands-hospital.htm,E07000198,E02006204,-2.009697914123535,53.10279083251953
Pembleton Unit,Independent Sector,Coventry and Warwickshire Partnership NHS Trust,The Manor Site,Manor Court Avenue,NA,Nuneaton,CV11 5HX,http://www.covwarkpt.nhs.uk,E07000219,E02006479,-1.4776939153671265,52.5269889831543
St Mary's Hospital,Independent Sector,Warrington and Halton Hospitals NHS Foundation Trust,St. Marys Hospital,Floyd Drive,NA,Warrington,WA2 8DB,NA,E06000007,E02002600,-2.5924346446990967,53.40608596801758
Haywood Hospital,Independent Sector,Midlands Partnership NHS Foundation Trust,High Lane,Burslem,NA,Stoke-On-Trent,ST6 7AG,https://www.mpft.nhs.uk/services/haywood-community-hospital,E06000021,E02002956,-2.1913983821868896,53.05694580078125
St. Leonards Hospital,Independent Sector,Norfolk and Suffolk NHS Foundation Trust,Newton Road,NA,NA,Sudbury,CO10 2RQ,NA,E07000200,E02006233,0.7363262176513672,52.03901672363281
Walton Hospital Rice Lane,Independent Sector,St Helens and Knowsley Hospitals NHS Trust,Rice Lane,NA,NA,Liverpool,L9 1NL,NA,E08000012,E02001352,-2.9617347717285156,53.45125198364258
"Spencer Private Hospitals, Margate",NHS Sector,East Kent Medical Services Ltd,Spencer Private Hospitals,Queen Elizabeth The Queen Mother Hospital,Ramsgate Road,Margate,CT9 4BG,http://www.spencerprivatehospitals.com,E07000114,E02005135,1.3904786109924316,51.377197265625
Burton Hospital,Independent Sector,University Hospital of Derby and Burton NHS Foundation Trust,Queens Hospital,Belvedere Road,NA,Burton-On-Trent,DE13 0RB,https://www.uhdb.nhs.uk/,E07000193,E02006137,-1.6563690900802612,52.817779541015625
Cygnet Hospital Beckton,Independent Sector,Cygnet Health Care Limited,NA,23 Tunnan Leys,Beckton,London,E6 6ZB,http://www.cygnethealth.co.uk/locations/beckton/,E09000025,E02000746,0.06491462141275406,51.51347351074219
Cygnet Hospital Derby,Independent Sector,Cygnet Health Care Limited,NA,City Gate,London Road,Derby,DE24 8WZ,www.cygnethealth.co.uk/locations/derby,E06000015,E02002819,-1.4552152156829834,52.907432556152344
Broadoak Unit,NHS Sector,Mersey Care NHS Foundation Trust,Broadoak Unit,Broadgreen Hospital Site,Thomas Drive,Liverpool,L14 3PJ,https://www.merseycare.nhs.uk/our-services/our-sites/broadoak-unit/,E08000012,E02001372,-2.895334243774414,53.410789489746094
Rathbone Hospital,NHS Sector,Mersey Care NHS Foundation Trust,Rathbone Hospital,Mill Lane,NA,Liverpool,L13 4AW,https://www.merseycare.nhs.uk/our-services/our-sites/rathbone-hospital/,E08000012,E02001378,-2.915574789047241,53.407569885253906
Priory Hospital Dewsbury,Independent Sector,Priory Group Limited,NA,York Road,Earlsheaton,Dewsbury,WF12 7LB,http://www.priorygroup.com/dewsbury,E08000034,E02002288,-1.6142386198043823,53.69366455078125
Forward House,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,"Entrance D, 71 Fentham Road",Erdington,Birmingham,B23 6AL,http://www.bsmhft.nhs.uk,E08000025,E02001857,-1.8551775217056274,52.51944351196289
"St Charles Hospital, Mental Health Unit",NHS Sector,Central and North West London NHS Foundation Trust,Mental Health Unit,Exmoor Street,NA,"Kensington and Chelsea, London",W10 6DZ,https://www.cnwl.nhs.uk/,E09000020,E02000578,-0.21720358729362488,51.522361755371094
The Manor Hospital,NHS Sector,Cambian Healthcare Limited,Central Drive,Shirebrook,NA,Mansfield,NG20 8BA,NA,E07000033,E02004051,-1.2181611061096191,53.201759338378906
Tamarind Centre,NHS Sector,Birmingham and Solihull Mental Health NHS Foundation Trust,NA,165 Yardley Green Road,Bordesley Green,Birmingham,B9 5PU,http://www.bsmhft.nhs.uk,E08000025,E02001889,-1.8390671014785767,52.475711822509766
Intensive Support Service ,NHS Sector,Sheffield Health and Social Care NHS Foundation Trust,NA,32 Firshill Rise,NA,Sheffield,S4 7BU,NA,E08000019,E02001629,-1.4674510955810547,53.40324401855469
The Lodge,NHS Sector,East London NHS Foundation Trust,NA,1 Crozier Terrace,NA,London,E9 6AT,NA,E09000012,E02000362,-0.04018094018101692,51.548377990722656
Child & Family Service,NHS Sector,Pennine Care NHS Foundation Trust,NA,Fairfield General Hospital,NA,Rochdale,BL9 7TD,https://www.penninecare.nhs.uk/your-services/child-and-adolescent-mental-health-services-camhs/,E08000002,E02001025,-2.255607843399048,53.600425720214844
Olive Eden Hospital,NHS Sector,Curocare Ltd Head Office,71 St. Pauls Road,NA,NA,London,N17 0ND,NA,E09000014,E02000398,-0.06148101016879082,51.60136413574219
Central Middlesex Hospital,Independent Sector,London North West University Healthcare NHS Trust,Acton Lane,Park Royal,NA,London,NW10 7NS,http://www.lnwh.nhs.uk,E09000005,E02000119,-0.26914629340171814,51.53093719482422
Ealing Hospital,Independent Sector,London North West University Healthcare NHS Trust,Uxbridge Road,NA,NA,Southall,UB1 3HW,https://www.lnwh.nhs.uk/,E09000009,E02000266,-0.34548112750053406,51.507606506347656
Caludon Centre,NHS Sector,Coventry and Warwickshire Partnership NHS Trust,NA,Clifford Bridge Road,NA,Coventry,CV2 2TE,https://www.covwarkpt.nhs.uk/caludon-centre,E08000026,E02001976,-1.4455196857452393,52.42244338989258
North Cambridgeshire Hospital - Cambridgeshire and Peterborough NHS Foundation Trust,NHS Sector,Cambridgeshire and Peterborough NHS Foundation Trust,NA,North Cambs Hospital,Churchill Road,Wisbech,PE13 3AB,http://www.cpft.nhs.uk,E07000010,E02003743,0.16392791271209717,52.66493606567383
Roseberry Park Hospital,Independent Sector,"Tees, Esk and Wear Valleys NHS Foundation Trust",Marton Road,NA,NA,Middlesbrough,TS4 3AF,NA,E06000002,E02002506,-1.2176517248153687,54.555721282958984
North Lincs Adult Mental Health Service - Access Team  including Crisis Resolution Service,NHS Sector,Rotherham Doncaster and South Humber NHS Foundation Trust,Great Oaks,Ashby High Street,NA,Scunthorpe,DN16 2JX,http://www.rdash.nhs.uk/services/our-services/adult-mental-health-services/adult-community-mental-he,E06000013,E02002763,-0.6385596990585327,53.566986083984375
Wotton Lawn Hospital,NHS Sector,Gloucestershire Health and Care NHS Foundation Trust,Wotton Lawn Hospital,Horton Road,NA,Gloucester,GL1 3WL,https://www.ghc.nhs.uk,E07000081,E02004637,-2.227879047393799,51.866966247558594
Dudley Urgent Care Centre,NHS Sector,Malling Health UK Limited,Russells Hall Hospital,Pensnett Road,NA,Dudley,DY1 2HQ,NA,E08000027,E02002012,-2.1185030937194824,52.50294876098633
"1b St Catherines Way, Gorleston",NHS Sector,Norfolk and Suffolk NHS Foundation Trust,Stepping Out,1B St Catherines Way,NA,Gorleston on Sea,NR31 7QB,http://www.nsft.nhs.uk,E07000145,E02005546,1.7169004678726196,52.57298278808594
Cygnet Hospital Sheffield,NHS Sector,Cygnet Health Care Limited,83 East Bank Road,NA,NA,Sheffield,S2 3PX,https://www.cygnethealth.co.uk/locations/cygnet-hospital-sheffield/,E08000019,E02001653,-1.4593790769577026,53.369598388671875
Windermere House Independent Hospital,NHS Sector,Barchester Healthcare Ltd,Birkdale Way,Newbridge Road,NA,Hull,HU9 2BH,NA,E06000010,E02002673,-0.30832526087760925,53.74993896484375
Castle Lodge Independent Hospital,NHS Sector,Barchester Healthcare Ltd,Noddle Hill Way,Bransholme,NA,Hull,HU7 4FG,NA,E06000010,E02002655,-0.3070729374885559,53.78861999511719
Birmingham Women's Hospital,Independent Sector,Birmingham Women's and Children's NHS Foundation Trust,Mindelsohn Way,Edgbaston,NA,Birmingham,B15 2TG,NA,E08000025,E02001913,-1.9428908824920654,52.4532356262207
West Valley Hospital,NHS Sector,Ramsay Healthcare UK Operations Limited,"Level 9, Interchange",81-85 Wellesley Road,NA,Croydon,CR0 2RD,https://www.westvalleyhospital.co.uk/,E09000008,E02000213,-0.10036391019821167,51.38014221191406
Redcar Primary Care Hospital,Independent Sector,"Tees, Esk and Wear Valleys NHS Foundation Trust",West Dyke Road,NA,NA,Redcar,TS10 4NW,NA,E06000003,E02002519,-1.0687766075134277,54.59928894042969
Ashfield Community Hospital,Independent Sector,Sherwood Forest Hospitals NHS Foundation Trust,Portland Street,Kirkby-In-Ashfield,NA,Nottingham,NG17 7AB,NA,E07000170,E02005826,-1.2466495037078857,53.10095977783203
Manchester Private Hospital,NHS Sector,Manchester Private Clinic Ltd,New Court,Regents Place,Windsor Street,Salford,M5 4HB,http://www.manchesterprivatehospital.co.uk,E08000006,E02001184,-2.278548240661621,53.47900390625
Manchester Royal Infirmary,Independent Sector,Manchester University NHS Foundation Trust,Oxford Road,NA,NA,Manchester,M13 9WL,https://mft.nhs.uk/mri/,E08000003,E02001062,-2.22489070892334,53.461673736572266
Royal Manchester Children's Hospital,Independent Sector,Manchester University NHS Foundation Trust,Oxford Road,NA,NA,Manchester,M13 9WL,https://mft.nhs.uk/rmch/,E08000003,E02001062,-2.224475860595703,53.46046829223633
Manchester Royal Eye Hospital,Independent Sector,Manchester University NHS Foundation Trust,Oxford Road,NA,NA,Manchester,M13 9WL,https://mft.nhs.uk/royal-eye/,E08000003,E02001062,-2.223982334136963,53.46088790893555
St Mary's Hospital,Independent Sector,Manchester University NHS Foundation Trust,Oxford Road,NA,NA,Manchester,M13 9WL,https://mft.nhs.uk/saint-marys/,E08000003,E02001062,-2.2238965034484863,53.4611701965332
Wythenshawe Hospital,Independent Sector,Manchester University NHS Foundation Trust,Southmoor Road,Wythenshawe,NA,Manchester,M23 9LT,https://mft.nhs.uk/wythenshawe/,E08000003,E02001095,-2.2918150424957275,53.388851165771484
SpaMedica Eye Hospital Bolton,NHS Sector,Spamedica,43 Churchgate,NA,NA,Bolton,BL1 1HU,https://www.spamedica.co.uk/,E08000001,E02000999,-2.4258077144622803,53.579933166503906
Heartlands Hospital,Independent Sector,University Hospitals Birmingham NHS Foundation Trust,Bordesley Green East,Bordesley Green,NA,Birmingham,B9 5SS,https://www.uhb.nhs.uk,E08000025,E02001892,-1.8299510478973389,52.480220794677734
Queens Hospital,NHS Sector,Virgin Care Ltd,Belvedere Road,NA,NA,Burton-On-Trent,DE13 0RB,NA,E07000193,E02006137,-1.6563690900802612,52.817779541015625
Felixstowe Hospital,Independent Sector,East Suffolk and North Essex NHS Foundation Trust,Constable Road,NA,NA,Felixstowe,IP11 7HJ,NA,E07000244,E02006301,1.3559541702270508,51.96376419067383
All Saints Hospital,NHS Sector,Elysium Healthcare,All Saints Hospital,159 Grange Avenue,NA,Oldham,OL8 4EF,NA,E08000004,E02006860,-2.1274170875549316,53.52851867675781
One Health Group - Kinvara Hospital,NHS Sector,One Health Group,Crantock House,Clifton Lane,NA,Rotherham,S65 2AJ,NA,E08000018,E02001594,-1.3462154865264893,53.428043365478516
Birmingham Children's Hospital,Independent Sector,Oxford University Hospitals NHS Foundation Trust,Steelhouse Lane,NA,NA,Birmingham,B4 6NW,NA,E08000025,E02001876,-1.8933732509613037,52.48423385620117
Royal Liverpool University Dental Hospital,Independent Sector,Liverpool University Hospitals NHS Foundation Trust,Dental Hospital,Pembroke Place,NA,Liverpool,L3 5PS,NA,E08000012,E02001377,-2.9670073986053467,53.40892791748047
Broadgreen Hospital,Independent Sector,Liverpool University Hospitals NHS Foundation Trust,Thomas Drive,NA,NA,Liverpool,L14 3LB,NA,E08000012,E02001372,-2.897974729537964,53.411155700683594
Trent PTS - Bilborough,Independent Sector,Trent Pts,NA,Artic House,141 Glaisdale Drive,Bilborough,NG8 4GY,http://www.trentpts.co.uk,E06000018,E02002892,-1.233405590057373,52.957725524902344
Community Healthcare Ltd - John Coupland Hospital,NHS Sector,Community Healthcare Ltd,John Coupland Hospital,Ropery Road,NA,Gainsborough,DN21 2TJ,NA,E07000142,E02005495,-0.7847763895988464,53.41184616088867
